id_matricula,id_disciplina
25,501
25,502
25,503
25,504
25,505
35,501
35,502
35,503
35,504
35,505
31,101
31,102
31,0
31,103
31,104
31,105
44,401
44,402
44,403
44,404
44,405
43,301
43,302
43,303
43,304
43,305
55,501
55,502
55,503
55,504
55,505
61,101
61,102
61,103
61,104
61,105
75,501
75,502
75,503
75,504
75,505
94,401
94,402
94,403
94,404
94,405
102,201
102,202
102,203
102,204
102,205
102,206
121,101
121,102
121,103
121,104
121,105
123,301
123,302
123,303
123,304
123,305
135,501
135,502
135,503
135,504
135,505
133,301
133,302
133,303
133,304
133,305
143,301
143,302
143,303
143,304
143,305
152,201
152,202
152,203
152,204
152,205
152,206
165,501
165,502
165,503
165,504
165,505
162,201
162,202
162,203
162,204
162,205
162,206
171,101
171,102
171,103
171,104
171,105
181,101
181,102
181,103
181,104
181,105
191,101
191,102
191,103
191,104
191,105
195,501
195,502
195,503
195,504
195,505
202,201
202,202
202,203
202,204
202,205
202,206
214,401
214,402
214,403
214,404
214,405
222,201
222,202
222,203
222,204
222,205
222,206
231,101
231,102
231,103
231,104
231,105
244,401
244,402
244,403
244,404
244,405
242,201
242,202
242,203
242,204
242,205
242,206
252,201
252,202
252,203
252,204
252,205
252,206
263,301
263,302
263,303
263,304
263,305
273,301
273,302
273,303
273,304
273,305
274,401
274,402
274,403
274,404
274,405
283,301
283,302
283,303
283,304
283,305
292,201
292,202
292,203
292,204
292,205
292,206
291,101
291,102
291,103
291,104
291,105
315,501
315,502
315,503
315,504
315,505
312,201
312,202
312,203
312,204
312,205
312,206
322,201
322,202
322,203
322,204
322,205
322,206
334,401
334,402
334,403
334,404
334,405
332,201
332,202
332,203
332,204
332,205
332,206
345,501
345,502
345,503
345,504
345,505
351,101
351,102
351,103
351,104
351,105
365,501
365,502
365,503
365,504
365,505
371,101
371,102
371,103
371,104
371,105
375,501
375,502
375,503
375,504
375,505
381,101
381,102
381,103
381,104
381,105
384,401
384,402
384,403
384,404
384,405
393,301
393,302
393,303
393,304
393,305
401,101
401,102
401,103
401,104
401,105
403,301
403,302
403,303
403,304
403,305
412,201
412,202
412,203
412,204
412,205
412,206
414,401
414,402
414,403
414,404
414,405
424,401
424,402
424,403
424,404
424,405
422,201
422,202
422,203
422,204
422,205
422,206
431,101
431,102
431,103
431,104
431,105
434,401
434,402
434,403
434,404
434,405
444,401
444,402
444,403
444,404
444,405
443,301
443,302
443,303
443,304
443,305
453,301
453,302
453,303
453,304
453,305
465,501
465,502
465,503
465,504
465,505
485,501
485,502
485,503
485,504
485,505
482,201
482,202
482,203
482,204
482,205
482,206
495,501
495,502
495,503
495,504
495,505
492,201
492,202
492,203
492,204
492,205
492,206
505,501
505,502
505,503
505,504
505,505
502,201
502,202
502,203
502,204
502,205
502,206
513,301
513,302
513,303
513,304
513,305
522,201
522,202
522,203
522,204
522,205
522,206
535,501
535,502
535,503
535,504
535,505
532,201
532,202
532,203
532,204
532,205
532,206
543,301
543,302
543,303
543,304
543,305
551,101
551,102
551,103
551,104
551,105
562,201
562,202
562,203
562,204
562,205
562,206
572,201
572,202
572,203
572,204
572,205
572,206
574,401
574,402
574,403
574,404
574,405
581,101
581,102
581,103
581,104
581,105
582,201
582,202
582,203
582,204
582,205
582,206
602,201
602,202
602,203
602,204
602,205
602,206
621,101
621,102
621,103
621,104
621,105
641,101
641,102
641,103
641,104
641,105
644,401
644,402
644,403
644,404
644,405
651,101
651,102
651,103
651,104
651,105
662,201
662,202
662,203
662,204
662,205
662,206
675,501
675,502
675,503
675,504
675,505
671,101
671,102
671,103
671,104
671,105
685,501
685,502
685,503
685,504
685,505
692,201
692,202
692,203
692,204
692,205
692,206
693,301
693,302
693,303
693,304
693,305
701,101
701,102
701,103
701,104
701,105
703,301
703,302
703,303
703,304
703,305
712,201
712,202
712,203
712,204
712,205
712,206
721,101
721,102
721,103
721,104
721,105
722,201
722,202
722,203
722,204
722,205
722,206
732,201
732,202
732,203
732,204
732,205
732,206
745,501
745,502
745,503
745,504
745,505
743,301
743,302
743,303
743,304
743,305
752,201
752,202
752,203
752,204
752,205
752,206
763,301
763,302
763,303
763,304
763,305
773,301
773,302
773,303
773,304
773,305
771,101
771,102
771,103
771,104
771,105
792,201
792,202
792,203
792,204
792,205
792,206
793,301
793,302
793,303
793,304
793,305
803,301
803,302
803,303
803,304
803,305
802,201
802,202
802,203
802,204
802,205
802,206
814,401
814,402
814,403
814,404
814,405
823,301
823,302
823,303
823,304
823,305
821,101
821,102
821,103
821,104
821,105
833,301
833,302
833,303
833,304
833,305
841,101
841,102
841,103
841,104
841,105
852,201
852,202
852,203
852,204
852,205
852,206
863,301
863,302
863,303
863,304
863,305
865,501
865,502
865,503
865,504
865,505
883,301
883,302
883,303
883,304
883,305
895,501
895,502
895,503
895,504
895,505
902,201
902,202
902,203
902,204
902,205
902,206
903,301
903,302
903,303
903,304
903,305
912,201
912,202
912,203
912,204
912,205
912,206
922,201
922,202
922,203
922,204
922,205
922,206
932,201
932,202
932,203
932,204
932,205
932,206
934,401
934,402
934,403
934,404
934,405
954,401
954,402
954,403
954,404
954,405
953,301
953,302
953,303
953,304
953,305
964,401
964,402
964,403
964,404
964,405
961,101
961,102
961,103
961,104
961,105
975,501
975,502
975,503
975,504
975,505
971,101
971,102
971,103
971,104
971,105
985,501
985,502
985,503
985,504
985,505
981,101
981,102
981,103
981,104
981,105
994,401
994,402
994,403
994,404
994,405
1001,101
1001,102
1001,103
1001,104
1001,105
1002,201
1002,202
1002,203
1002,204
1002,205
1002,206
1015,501
1015,502
1015,503
1015,504
1015,505
1022,201
1022,202
1022,203
1022,204
1022,205
1022,206
1052,201
1052,202
1052,203
1052,204
1052,205
1052,206
1062,201
1062,202
1062,203
1062,204
1062,205
1062,206
1065,501
1065,502
1065,503
1065,504
1065,505
1072,201
1072,202
1072,203
1072,204
1072,205
1072,206
1093,301
1093,302
1093,303
1093,304
1093,305
1092,201
1092,202
1092,203
1092,204
1092,205
1092,206
1115,501
1115,502
1115,503
1115,504
1115,505
1123,301
1123,302
1123,303
1123,304
1123,305
1132,201
1132,202
1132,203
1132,204
1132,205
1132,206
1141,101
1141,102
1141,103
1141,104
1141,105
1144,401
1144,402
1144,403
1144,404
1144,405
1152,201
1152,202
1152,203
1152,204
1152,205
1152,206
1155,501
1155,502
1155,503
1155,504
1155,505
1165,501
1165,502
1165,503
1165,504
1165,505
1172,201
1172,202
1172,203
1172,204
1172,205
1172,206
1182,201
1182,202
1182,203
1182,204
1182,205
1182,206
1195,501
1195,502
1195,503
1195,504
1195,505
1194,401
1194,402
1194,403
1194,404
1194,405
1201,101
1201,102
1201,103
1201,104
1201,105
1214,401
1214,402
1214,403
1214,404
1214,405
1211,101
1211,102
1211,103
1211,104
1211,105
1223,301
1223,302
1223,303
1223,304
1223,305
1224,401
1224,402
1224,403
1224,404
1224,405
1234,401
1234,402
1234,403
1234,404
1234,405
1231,101
1231,102
1231,103
1231,104
1231,105
1252,201
1252,202
1252,203
1252,204
1252,205
1252,206
1274,401
1274,402
1274,403
1274,404
1274,405
1273,301
1273,302
1273,303
1273,304
1273,305
1285,501
1285,502
1285,503
1285,504
1285,505
1294,401
1294,402
1294,403
1294,404
1294,405
1295,501
1295,502
1295,503
1295,504
1295,505
1303,301
1303,302
1303,303
1303,304
1303,305
1311,101
1311,102
1311,103
1311,104
1311,105
1315,501
1315,502
1315,503
1315,504
1315,505
1321,101
1321,102
1321,103
1321,104
1321,105
1334,401
1334,402
1334,403
1334,404
1334,405
1335,501
1335,502
1335,503
1335,504
1335,505
1342,201
1342,202
1342,203
1342,204
1342,205
1342,206
1354,401
1354,402
1354,403
1354,404
1354,405
1362,201
1362,202
1362,203
1362,204
1362,205
1362,206
1375,501
1375,502
1375,503
1375,504
1375,505
1371,101
1371,102
1371,103
1371,104
1371,105
1381,101
1381,102
1381,103
1381,104
1381,105
1392,201
1392,202
1392,203
1392,204
1392,205
1392,206
1394,401
1394,402
1394,403
1394,404
1394,405
1414,401
1414,402
1414,403
1414,404
1414,405
1411,101
1411,102
1411,103
1411,104
1411,105
1421,101
1421,102
1421,103
1421,104
1421,105
1422,201
1422,202
1422,203
1422,204
1422,205
1422,206
1434,401
1434,402
1434,403
1434,404
1434,405
1433,301
1433,302
1433,303
1433,304
1433,305
1443,301
1443,302
1443,303
1443,304
1443,305
1442,201
1442,202
1442,203
1442,204
1442,205
1442,206
1454,401
1454,402
1454,403
1454,404
1454,405
1463,301
1463,302
1463,303
1463,304
1463,305
1471,101
1471,102
1471,103
1471,104
1471,105
1472,201
1472,202
1472,203
1472,204
1472,205
1472,206
1482,201
1482,202
1482,203
1482,204
1482,205
1482,206
1484,401
1484,402
1484,403
1484,404
1484,405
1505,501
1505,502
1505,503
1505,504
1505,505
1501,101
1501,102
1501,103
1501,104
1501,105
1512,201
1512,202
1512,203
1512,204
1512,205
1512,206
1515,501
1515,502
1515,503
1515,504
1515,505
1521,101
1521,102
1521,103
1521,104
1521,105
1524,401
1524,402
1524,403
1524,404
1524,405
1531,101
1531,102
1531,103
1531,104
1531,105
1544,401
1544,402
1544,403
1544,404
1544,405
1543,301
1543,302
1543,303
1543,304
1543,305
1551,101
1551,102
1551,103
1551,104
1551,105
1554,401
1554,402
1554,403
1554,404
1554,405
1565,501
1565,502
1565,503
1565,504
1565,505
1562,201
1562,202
1562,203
1562,204
1562,205
1562,206
1571,101
1571,102
1571,103
1571,104
1571,105
1581,101
1581,102
1581,103
1581,104
1581,105
1593,301
1593,302
1593,303
1593,304
1593,305
1592,201
1592,202
1592,203
1592,204
1592,205
1592,206
1601,101
1601,102
1601,103
1601,104
1601,105
1603,301
1603,302
1603,303
1603,304
1603,305
1613,301
1613,302
1613,303
1613,304
1613,305
1614,401
1614,402
1614,403
1614,404
1614,405
1625,501
1625,502
1625,503
1625,504
1625,505
1622,201
1622,202
1622,203
1622,204
1622,205
1622,206
1632,201
