id_matricula,id_disciplina,data,nota
25,501,2020-06-15,8.81
25,501,2020-07-27,8.99
25,501,2020-09-07,8.03
25,502,2020-06-09,8.6
25,502,2020-08-11,8.29
25,503,2020-06-10,8.3
25,503,2020-08-12,8.99
25,504,2020-06-11,8.51
25,504,2020-07-23,8.05
25,504,2020-09-03,8.15
25,505,2020-06-12,8.9
25,505,2020-07-24,8.9
25,505,2020-09-04,8.26
35,501,2020-06-15,6.21
35,501,2020-07-27,6.22
35,501,2020-09-07,6.23
35,502,2020-06-09,7.3
35,502,2020-08-11,7.9
35,503,2020-06-10,7.11
35,503,2020-08-12,7.23
35,504,2020-06-11,7.24
35,504,2020-07-23,6.66
35,504,2020-09-03,-1
35,505,2020-06-12,7.97
35,505,2020-07-24,6.58
35,505,2020-09-04,7.23
31,101,2021-06-21,6.94
31,101,2021-08-02,7.72
31,101,2021-09-13,6.3
31,102,2021-06-15,7.4
31,102,2021-08-24,7.44
31,103,2021-06-16,7.26
31,103,2021-08-25,6.4
31,104,2021-06-17,6.81
31,104,2021-07-29,6.15
31,104,2021-09-09,7.29
31,105,2021-06-18,6.55
31,105,2021-07-30,6.31
31,105,2021-09-10,7.14
44,401,2021-03-08,7.79
44,401,2021-04-12,7.29
44,401,2021-05-17,7.97
44,402,2021-03-02,7.49
44,402,2021-04-27,7.65
44,403,2021-03-03,6.1
44,403,2021-04-28,6.86
44,404,2021-03-04,7.87
44,404,2021-04-08,6.72
44,404,2021-05-13,7.78
44,405,2021-03-05,7.25
44,405,2021-04-09,7.12
44,405,2021-05-14,7.03
43,301,2020-06-01,6.05
43,301,2020-07-13,7.99
43,301,2020-08-24,
43,302,2020-05-26,7.05
43,302,2020-07-28,6.86
43,303,2020-05-27,6.61
43,303,2020-07-29,6.47
43,304,2020-05-28,8.0
43,304,2020-07-09,7.25
43,304,2020-08-20,
43,305,2020-05-29,6.72
43,305,2020-07-10,6.52
43,305,2020-08-21,
55,501,2020-06-15,6.38
55,501,2020-07-27,7.63
55,501,2020-09-07,
55,502,2020-06-09,6.73
55,502,2020-08-11,
55,503,2020-06-10,6.67
55,503,2020-08-12,
55,504,2020-06-11,6.77
55,504,2020-07-23,6.35
55,504,2020-09-03,
55,505,2020-06-12,7.74
55,505,2020-07-24,7.63
55,505,2020-09-04,
61,101,2021-06-21,8.91
61,101,2021-08-02,
61,101,2021-09-13,
61,102,2021-06-15,8.62
61,102,2021-08-24,
61,103,2021-06-16,8.26
61,103,2021-08-25,
61,104,2021-06-17,8.49
61,104,2021-07-29,
61,104,2021-09-09,
61,105,2021-06-18,8.46
61,105,2021-07-30,
61,105,2021-09-10,
75,501,2020-06-15,8.63
75,501,2020-07-27,8.8
75,501,2020-09-07,8.26
75,502,2020-06-09,8.41
75,502,2020-08-11,8.09
75,503,2020-06-10,8.6
75,503,2020-08-12,8.49
75,504,2020-06-11,8.42
75,504,2020-07-23,8.15
75,504,2020-09-03,8.67
75,505,2020-06-12,8.38
75,505,2020-07-24,8.63
75,505,2020-09-04,8.09
94,401,2021-03-08,
94,401,2021-04-12,
94,401,2021-05-17,
94,402,2021-03-02,
94,402,2021-04-27,
94,403,2021-03-03,
94,403,2021-04-28,
94,404,2021-03-04,
94,404,2021-04-08,
94,404,2021-05-13,
94,405,2021-03-05,
94,405,2021-04-09,
94,405,2021-05-14,
102,201,2021-03-15,9.66
102,201,2021-04-19,
102,201,2021-05-24,
102,202,2021-03-09,9.33
102,202,2021-04-13,9.93
102,202,2021-05-18,
102,203,2021-03-10,9.83
102,203,2021-04-14,9.29
102,203,2021-05-19,
102,204,2021-03-11,9.19
102,204,2021-04-29,
102,205,2021-03-12,9.95
102,205,2021-04-30,
102,206,2021-03-13,9.53
102,206,2021-05-01,
121,101,2021-06-21,7.72
121,101,2021-08-02,6.86
121,101,2021-09-13,7.65
121,102,2021-06-15,6.97
121,102,2021-08-24,7.76
121,103,2021-06-16,7.82
121,103,2021-08-25,7.54
121,104,2021-06-17,7.59
121,104,2021-07-29,6.62
121,104,2021-09-09,7.59
121,105,2021-06-18,6.33
121,105,2021-07-30,7.83
121,105,2021-09-10,6.74
123,301,2020-06-01,6.86
123,301,2020-07-13,
123,301,2020-08-24,
123,302,2020-05-26,7.78
123,302,2020-07-28,
123,303,2020-05-27,6.92
123,303,2020-07-29,
123,304,2020-05-28,7.28
123,304,2020-07-09,
123,304,2020-08-20,
123,305,2020-05-29,6.87
123,305,2020-07-10,
123,305,2020-08-21,
135,501,2020-06-15,8.06
135,501,2020-07-27,8.81
135,501,2020-09-07,8.8
135,502,2020-06-09,8.5
135,502,2020-08-11,8.7
135,503,2020-06-10,8.46
135,503,2020-08-12,8.85
135,504,2020-06-11,8.92
135,504,2020-07-23,8.2
135,504,2020-09-03,8.1
135,505,2020-06-12,8.94
135,505,2020-07-24,8.37
135,505,2020-09-04,8.27
133,301,2020-06-01,8.71
133,301,2020-07-13,8.16
133,301,2020-08-24,8.67
133,302,2020-05-26,8.16
133,302,2020-07-28,8.16
133,303,2020-05-27,8.18
133,303,2020-07-29,8.06
133,304,2020-05-28,8.2
133,304,2020-07-09,8.52
133,304,2020-08-20,8.23
133,305,2020-05-29,8.97
133,305,2020-07-10,8.26
133,305,2020-08-21,8.71
143,301,2020-06-01,8.62
143,301,2020-07-13,8.05
143,301,2020-08-24,8.5
143,302,2020-05-26,8.61
143,302,2020-07-28,8.41
143,303,2020-05-27,8.92
143,303,2020-07-29,8.28
143,304,2020-05-28,8.91
143,304,2020-07-09,8.32
