id_matricula,id_turma,id_aluno,data_matricula,situacao,data_situacao
25,5,2,2020-06-08,Finalizado,2020-10-12
35,5,3,2020-06-08,Finalizado,2020-10-12
31,1,3,2021-06-14,Finalizado,2021-11-01
44,4,4,2021-03-01,Finalizado,2021-06-21
43,3,4,2020-05-25,Evadido,2020-08-13
55,5,5,2020-06-08,Trancado,2020-08-07
61,1,6,2021-06-14,Evadido,2021-07-27
75,5,7,2020-06-08,Finalizado,2020-10-12
94,4,9,2021-03-01,Evadido,2021-03-01
102,2,10,2021-03-08,Trancado,2021-04-16
121,1,12,2021-06-14,Finalizado,2021-11-01
123,3,12,2020-05-25,Evadido,2020-06-17
135,5,13,2020-06-08,Finalizado,2020-10-12
133,3,13,2020-05-25,Finalizado,2020-09-28
143,3,14,2020-05-25,Finalizado,2020-09-28
152,2,15,2021-03-08,Finalizado,2021-06-21
152,2,15,2021-03-08,Finalizado,2021-06-21
165,5,16,2020-06-08,Finalizado,2020-10-12
162,2,16,2021-03-08,Finalizado,2021-06-21
171,1,17,2021-06-14,Finalizado,2021-11-01
181,1,18,2021-06-14,Evadido,2021-10-20
191,1,19,2021-06-14,Evadido,2021-07-16
195,5,19,2020-06-08,Finalizado,2020-10-12
202,2,20,2021-03-08,Finalizado,2021-06-21
214,4,21,2021-03-01,Cancelado,2021-05-26
222,2,22,2021-03-08,Trancado,2021-04-14
231,1,23,2021-06-14,Finalizado,2021-11-01
244,4,24,2021-03-01,Evadido,2021-05-18
242,2,24,2021-03-08,Evadido,2021-04-27
252,2,25,2021-03-08,Finalizado,2021-06-21
263,3,26,2020-05-25,Evadido,2020-05-27
273,3,27,2020-05-25,Finalizado,2020-09-28
274,4,27,2021-03-01,Evadido,2021-06-02
283,3,28,2020-05-25,Trancado,2020-07-31
292,2,29,2021-03-08,Evadido,2021-05-04
291,1,29,2021-06-14,Finalizado,2021-11-01
315,5,31,2020-06-08,Finalizado,2020-10-12
312,2,31,2021-03-08,Finalizado,2021-06-21
322,2,32,2021-03-08,Finalizado,2021-06-21
334,4,33,2021-03-01,Finalizado,2021-06-21
332,2,33,2021-03-08,Finalizado,2021-06-21
345,5,34,2020-06-08,Evadido,2020-08-12
351,1,35,2021-06-14,Finalizado,2021-11-01
365,5,36,2020-06-08,Evadido,2020-08-17
371,1,37,2021-06-14,Evadido,2021-07-23
375,5,37,2020-06-08,Finalizado,2020-10-12
381,1,38,2021-06-14,Finalizado,2021-11-01
384,4,38,2021-03-01,Finalizado,2021-06-21
393,3,39,2020-05-25,Finalizado,2020-09-28
401,1,40,2021-06-14,Evadido,2021-07-29
403,3,40,2020-05-25,Finalizado,2020-09-28
412,2,41,2021-03-08,Finalizado,2021-06-21
414,4,41,2021-03-01,Finalizado,2021-06-21
424,4,42,2021-03-01,Finalizado,2021-06-21
422,2,42,2021-03-08,Finalizado,2021-06-21
431,1,43,2021-06-14,Evadido,2021-08-09
434,4,43,2021-03-01,Finalizado,2021-06-21
444,4,44,2021-03-01,Finalizado,2021-06-21
443,3,44,2020-05-25,Finalizado,2020-09-28
453,3,45,2020-05-25,Finalizado,2020-09-28
465,5,46,2020-06-08,Finalizado,2020-10-12
485,5,48,2020-06-08,Finalizado,2020-10-12
482,2,48,2021-03-08,Finalizado,2021-06-21
495,5,49,2020-06-08,Finalizado,2020-10-12
492,2,49,2021-03-08,Finalizado,2021-06-21
505,5,50,2020-06-08,Finalizado,2020-10-12
502,2,50,2021-03-08,Finalizado,2021-06-21
513,3,51,2020-05-25,Finalizado,2020-09-28
522,2,52,2021-03-08,Evadido,2021-04-18
535,5,53,2020-06-08,Finalizado,2020-10-12
532,2,53,2021-03-08,Evadido,2021-06-01
543,3,54,2020-05-25,Finalizado,2020-09-28
551,1,55,2021-06-14,Trancado,2021-08-28
562,2,56,2021-03-08,Finalizado,2021-06-21
572,2,57,2021-03-08,Evadido,2021-04-09
574,4,57,2021-03-01,Finalizado,2021-06-21
581,1,58,2021-06-14,Finalizado,2021-11-01
582,2,58,2021-03-08,Finalizado,2021-06-21
602,2,60,2021-03-08,Evadido,2021-04-22
621,1,62,2021-06-14,Evadido,2021-06-23
641,1,64,2021-06-14,Evadido,2021-10-28
644,4,64,2021-03-01,Finalizado,2021-06-21
651,1,65,2021-06-14,Finalizado,2021-11-01
662,2,66,2021-03-08,Evadido,2021-05-03
675,5,67,2020-06-08,Finalizado,2020-10-12
671,1,67,2021-06-14,Finalizado,2021-11-01
685,5,68,2020-06-08,Evadido,2020-08-13
692,2,69,2021-03-08,Evadido,2021-05-13
693,3,69,2020-05-25,Finalizado,2020-09-28
701,1,70,2021-06-14,Trancado,2021-08-04
703,3,70,2020-05-25,Trancado,2020-08-26
712,2,71,2021-03-08,Finalizado,2021-06-21
